,date,rd_link_cd,signgu_cd,signgu_nm,adstrd_cd,adstrd_nm,dayweek_cd,agrde_cd,tmzon_cd,flpop_co
8757562,201612,25723,11290,己合备,11290640,沥釜3悼,1,50,2,0.8765
8757569,201612,25723,11290,己合备,11290640,沥釜3悼,1,60,2,0.32491666
8757576,201612,25723,11290,己合备,11290640,沥釜3悼,2,0,2,0.35739583
8757597,201612,25723,11290,己合备,11290640,沥釜3悼,2,30,2,0.050625
8757604,201612,25723,11290,己合备,11290640,沥釜3悼,2,40,2,0.10104167
8757611,201612,25723,11290,己合备,11290640,沥釜3悼,2,50,2,0.20572917
8758899,201612,25738,11290,己合备,11290640,沥釜3悼,1,0,2,10.3895
8758913,201612,25738,11290,己合备,11290640,沥釜3悼,1,20,2,1.3808334
8758920,201612,25738,11290,己合备,11290640,沥釜3悼,1,30,2,2.2116666
8758927,201612,25738,11290,己合备,11290640,沥釜3悼,1,40,2,2.873
8758934,201612,25738,11290,己合备,11290640,沥釜3悼,1,50,2,2.3766668
8758941,201612,25738,11290,己合备,11290640,沥釜3悼,1,60,2,1.5473334
8758948,201612,25738,11290,己合备,11290640,沥釜3悼,2,0,2,3.6858332
8758969,201612,25738,11290,己合备,11290640,沥釜3悼,2,30,2,0.68083334
8758976,201612,25738,11290,己合备,11290640,沥釜3悼,2,40,2,1.2295834
8758983,201612,25738,11290,己合备,11290640,沥釜3悼,2,50,2,1.3666667
8758990,201612,25738,11290,己合备,11290640,沥釜3悼,2,60,2,0.40875
8758997,201612,25739,11290,己合备,11290640,沥釜3悼,1,0,2,13.851
8759011,201612,25739,11290,己合备,11290640,沥釜3悼,1,20,2,1.84
8759018,201612,25739,11290,己合备,11290640,沥釜3悼,1,30,2,2.95
8759025,201612,25739,11290,己合备,11290640,沥釜3悼,1,40,2,3.83
8759032,201612,25739,11290,己合备,11290640,沥釜3悼,1,50,2,3.169
8759039,201612,25739,11290,己合备,11290640,沥釜3悼,1,60,2,2.062
8759046,201612,25739,11290,己合备,11290640,沥釜3悼,2,0,2,4.915
8759067,201612,25739,11290,己合备,11290640,沥釜3悼,2,30,2,0.9075
8759074,201612,25739,11290,己合备,11290640,沥釜3悼,2,40,2,1.64
8759081,201612,25739,11290,己合备,11290640,沥釜3悼,2,50,2,1.8225
8759088,201612,25739,11290,己合备,11290640,沥釜3悼,2,60,2,0.545
8759193,201612,25741,11290,己合备,11290640,沥釜3悼,1,0,2,20.784
8759207,201612,25741,11290,己合备,11290640,沥釜3悼,1,20,2,2.765
8759214,201612,25741,11290,己合备,11290640,沥釜3悼,1,30,2,4.42
8759221,201612,25741,11290,己合备,11290640,沥釜3悼,1,40,2,5.748
8759228,201612,25741,11290,己合备,11290640,沥釜3悼,1,50,2,4.753
8759235,201612,25741,11290,己合备,11290640,沥釜3悼,1,60,2,3.098
8759242,201612,25741,11290,己合备,11290640,沥釜3悼,2,0,2,7.37
8759263,201612,25741,11290,己合备,11290640,沥釜3悼,2,30,2,1.3625
8759270,201612,25741,11290,己合备,11290640,沥釜3悼,2,40,2,2.4575
8759277,201612,25741,11290,己合备,11290640,沥釜3悼,2,50,2,2.7325
8759284,201612,25741,11290,己合备,11290640,沥釜3悼,2,60,2,0.8175
8759291,201612,25743,11290,己合备,11290640,沥釜3悼,1,0,2,20.784
8759305,201612,25743,11290,己合备,11290640,沥釜3悼,1,20,2,2.765
8759312,201612,25743,11290,己合备,11290640,沥釜3悼,1,30,2,4.42
8759319,201612,25743,11290,己合备,11290640,沥釜3悼,1,40,2,5.748
8759326,201612,25743,11290,己合备,11290640,沥釜3悼,1,50,2,4.753
8759333,201612,25743,11290,己合备,11290640,沥釜3悼,1,60,2,3.098
8759340,201612,25743,11290,己合备,11290640,沥釜3悼,2,0,2,7.37
8759361,201612,25743,11290,己合备,11290640,沥釜3悼,2,30,2,1.3625
8759368,201612,25743,11290,己合备,11290640,沥釜3悼,2,40,2,2.4575
8759375,201612,25743,11290,己合备,11290640,沥釜3悼,2,50,2,2.7325
8759382,201612,25743,11290,己合备,11290640,沥釜3悼,2,60,2,0.8175
8760271,201612,25753,11290,己合备,11290640,沥釜3悼,1,0,2,20.847
8760285,201612,25753,11290,己合备,11290640,沥釜3悼,1,20,2,2.7725
8760292,201612,25753,11290,己合备,11290640,沥釜3悼,1,30,2,4.435
8760299,201612,25753,11290,己合备,11290640,沥釜3悼,1,40,2,5.766
8760306,201612,25753,11290,己合备,11290640,沥釜3悼,1,50,2,4.768
8760313,201612,25753,11290,己合备,11290640,沥釜3悼,1,60,2,3.1055
8760320,201612,25753,11290,己合备,11290640,沥釜3悼,2,0,2,7.39625
8760341,201612,25753,11290,己合备,11290640,沥釜3悼,2,30,2,1.368125
8760348,201612,25753,11290,己合备,11290640,沥釜3悼,2,40,2,2.465
8760355,201612,25753,11290,己合备,11290640,沥釜3悼,2,50,2,2.741875
8760362,201612,25753,11290,己合备,11290640,沥釜3悼,2,60,2,0.82125
8760957,201612,25761,11290,己合备,11290640,沥釜3悼,1,0,2,2.553
8760978,201612,25761,11290,己合备,11290640,沥釜3悼,1,30,2,0.444
8760985,201612,25761,11290,己合备,11290640,沥釜3悼,1,40,2,0.666
8760992,201612,25761,11290,己合备,11290640,沥釜3悼,1,50,2,0.999
8760999,201612,25761,11290,己合备,11290640,沥釜3悼,1,60,2,0.444
8761006,201612,25761,11290,己合备,11290640,沥釜3悼,2,0,2,0.275
